#separator:tab
#html:false
      In element notation, A is the [...]	          In element notation, A is the Mass number                Khan Academy Link
  If an electron moves to a closer orbital, a photon is [...]	      If an electron moves to a closer orbital, a photon is emitted                If n goes up, a photon is absorbed If n goes down, a photon is emitted     Khan Academy Link
MileDown::General_Chemistry::Bonding Ionic bonds have a △EN that is [...]	MileDown::General_Chemistry::Bonding     Ionic bonds have a △EN that is greater than 1.7                Khan Academy Link
MileDown::General_Chemistry::Bonding The orbital hybridization of an atom with 2 electron groups is [...]	MileDown::General_Chemistry::Bonding     The orbital hybridization of an atom with 2 electron groups is sp               Khan Academy Link
MileDown::General_Chemistry::Bonding The electronic geometry of an atom with 2 electron groups is [...]	MileDown::General_Chemistry::Bonding     The electronic geometry of an atom with 2 electron groups is linear               Khan Academy Link
MileDown::General_Chemistry::Bonding The orbital hybridization of an atom with 3 electron groups is [...]	MileDown::General_Chemistry::Bonding     The orbital hybridization of an atom with 3 electron groups is sp2               Khan Academy Link
MileDown::General_Chemistry::Bonding The electronic geometry of an atom with 3 electron groups is [...]	MileDown::General_Chemistry::Bonding     The electronic geometry of an atom with 3 electron groups is trigonal planar               Khan Academy Link
MileDown::General_Chemistry::Bonding The orbital hybridization of an atom with 4 electron groups is [...]	MileDown::General_Chemistry::Bonding     The orbital hybridization of an atom with 4 electron groups is sp3               Khan Academy Link
MileDown::General_Chemistry::Bonding The electronic geometry of an atom with 4 electron groups is [...]	MileDown::General_Chemistry::Bonding     The electronic geometry of an atom with 4 electron groups is tetrahedral               Khan Academy Link
MileDown::General_Chemistry::Bonding The orbital hybridization of an atom with 5 electron groups is [...]	MileDown::General_Chemistry::Bonding     The orbital hybridization of an atom with 5 electron groups is sp3d               YouTube Link
MileDown::General_Chemistry::Bonding The electronic geometry of an atom with 5 electron groups is [...]	MileDown::General_Chemistry::Bonding     The electronic geometry of an atom with 5 electron groups is trigonal bipyramidal               YouTube Link
MileDown::General_Chemistry::Bonding The orbital hybridization of an atom with 6 electron groups is [...]	MileDown::General_Chemistry::Bonding     The orbital hybridization of an atom with 6 electron groups is sp3d2               YouTube Link
MileDown::General_Chemistry::Bonding The electronic geometry of an atom with 6 electron groups is [...]	MileDown::General_Chemistry::Bonding     The electronic geometry of an atom with 6 electron groups is octahedral               YouTube Link
MileDown::General_Chemistry::Equilibrium [...] is the value of the reaction quotient at chemical equilibrium	MileDown::General_Chemistry::Equilibrium     Equilibrium Constant (Keq) is the value of the reaction quotient at chemical equilibrium            Exclude pure solids and liquids      Khan Academy Link
  Protons and electrons have [the same or different] masses	      Protons and electrons have different masses             Protons and neutrons are both the same mass    Electrons are much smaller      YouTube Link
MileDown::General_Chemistry::Solutions A/an [...] is a special type of homogeneous mixture composed of two or more substances	MileDown::General_Chemistry::Solutions     A/an solution is a special type of homogeneous mixture composed of two or more substances                Khan Academy Link
MileDown::General_Chemistry::Solutions A/an [...] is a liquid that dissolves a solid, liquid or gaseous solute	MileDown::General_Chemistry::Solutions     A/an solvent is a liquid that dissolves a solid, liquid or gaseous solute                Khan Academy Link
MileDown::General_Chemistry::Solutions A/an solvent is a liquid that dissolves a solid, liquid or gaseous [...]	MileDown::General_Chemistry::Solutions     A/an solvent is a liquid that dissolves a solid, liquid or gaseous solute                Khan Academy Link
MileDown::General_Chemistry::Solutions  [...] or [...] is the process of dissolving a solute in solvent	MileDown::General_Chemistry::Solutions      Solvation or dissolution is the process of dissolving a solute in solvent               Khan Academy Link
MileDown::General_Chemistry::Solutions  [...] is measured in terms of the maximum amount of solute dissolved in a solvent at equilibrium	MileDown::General_Chemistry::Solutions      Solubility is measured in terms of the maximum amount of solute dissolved in a solvent at equilibrium                Khan Academy Link
MileDown::General_Chemistry::Solutions  [...] is the number of moles of a substance that can be dissolved per liter of solution before the solution becomes saturated	MileDown::General_Chemistry::Solutions      Molar solubility is the number of moles of a substance that can be dissolved per liter of solution before the solution becomes saturated               Khan Academy Link
MileDown::General_Chemistry::Solutions A/an [...] has a metal ion at its center with a number of other molecules or ions surrounding it	MileDown::General_Chemistry::Solutions     A/an complex ion has a metal ion at its center with a number of other molecules or ions surrounding it                Khan Academy Link
MileDown::General_Chemistry::Solutions  Polar molecules are [hydro...]   Nonpolar molecules are [hydro...]	MileDown::General_Chemistry::Solutions      Polar molecules are hydrophilic   Nonpolar molecules are hydrophobic               Khan Academy Link
MileDown::General_Chemistry::Solutions In a 1 molar solution, normality can be thought of as the [...]	MileDown::General_Chemistry::Solutions     In a 1 molar solution, normality can be thought of as the number of protons a molecule of acid can release in solution             For example, each molecule of H2SO4 can release two protons in solution, so its normality is 2          Khan Academy Link
MileDown::General_Chemistry::Solutions::Solubility  Na+, K+, NH4+, and NO3- are [sometimes or always] soluble	MileDown::General_Chemistry::Solutions::Solubility      Na+, K+, NH4+, and NO3- are always soluble                YouTube Link
MileDown::General_Chemistry::Solutions::Solubility  Cl-, Br-, and I- are [...] except with Pb2+, Hg22+, and Ag+	MileDown::General_Chemistry::Solutions::Solubility      Cl-, Br-, and I- are soluble except with Pb2+, Hg22+, and Ag+                YouTube Link
MileDown::General_Chemistry::Solutions::Solubility SO42- is [...] except with Ca2+, Sr2+, Ba2+, Pb2+, Hg22+, and Ag+	MileDown::General_Chemistry::Solutions::Solubility     SO42- is soluble except with Ca2+, Sr2+, Ba2+, Pb2+, Hg22+, and Ag+                 YouTube Link
MileDown::General_Chemistry::Solutions::Solubility  S2- is [...] except with Na+, K+, NH4+, Mg2+, Ca2+, Sr2+, and Ba2+	MileDown::General_Chemistry::Solutions::Solubility      S2- is insoluble except with Na+, K+, NH4+, Mg2+, Ca2+, Sr2+, and Ba2+                YouTube Link
MileDown::General_Chemistry::Solutions::Solubility O2- is [...] except with Na+, K+, Sr2+, and Ba2+	MileDown::General_Chemistry::Solutions::Solubility     O2- is insoluble except with Na+, K+, Sr2+, and Ba2+                YouTube Link
MileDown::General_Chemistry::Solutions::Solubility OH- is [...] except with Na+, K+, Ca2+, Sr2+, and Ba2+	MileDown::General_Chemistry::Solutions::Solubility     OH- is insoluble except with Na+, K+, Ca2+, Sr2+, and Ba2+                 YouTube Link
MileDown::General_Chemistry::Solutions::Solubility CrO4- is [...] except with Na+, K+, NH4+, and Mg2+	MileDown::General_Chemistry::Solutions::Solubility     CrO4- is insoluble except with Na+, K+, NH4+, and Mg2+                 YouTube Link
MileDown::General_Chemistry::Solutions::Solubility PO43- and CO32- are [...] except with Na+, K+, and NH4+	MileDown::General_Chemistry::Solutions::Solubility     PO43- and CO32- are insoluble except with Na+, K+, and NH4+                YouTube Link
MileDown::General_Chemistry::Solutions::Solubility Ksp​ is the [...] for a reaction that consists of a solid dissolving in a solution	MileDown::General_Chemistry::Solutions::Solubility     Ksp​ is the equilibrium constant for a reaction that consists of a solid dissolving in a solution               The equilibrium constant for a regular chemical reaction is abbreviated Keq      YouTube Link
MileDown::General_Chemistry::Solutions::Solubility Give the solubility product constant for the following chemical equation:   BaSO4(s) ⇌ Ba2+(aq) + SO42-(aq)   Ksp = [...]	MileDown::General_Chemistry::Solutions::Solubility     Give the solubility product constant for the following chemical equation:   BaSO4(s) ⇌ Ba2+(aq) + SO42-(aq)   Ksp = [Ba2+][SO42-]               Khan Academy Link
MileDown::General_Chemistry::Solutions::Solubility Qsp is the [...] for a reaction that consists of a solid dissolving in a solution	MileDown::General_Chemistry::Solutions::Solubility     Qsp is the reaction quotient for a reaction that consists of a solid dissolving in a solution               The reaction quotient for a regular chemical reaction is abbreviated Qc      YouTube Link
MileDown::General_Chemistry::Solutions::Solubility If Qsp is [less than, greater than, or equal to] Ksp then the solution is unsaturated so no precipitate will form	MileDown::General_Chemistry::Solutions::Solubility     If Qsp is less than Ksp then the solution is unsaturated so no precipitate will form                YouTube Link
MileDown::General_Chemistry::Solutions::Solubility If Qsp is [less than, greater than, or equal to] Ksp then the solution is saturated and at equilibrium so no precipitate will form	MileDown::General_Chemistry::Solutions::Solubility     If Qsp is equal to Ksp then the solution is saturated and at equilibrium so no precipitate will form                 YouTube Link
MileDown::General_Chemistry::Solutions::Solubility If Qsp is [less than, greater than, or equal to] Ksp then the solution is supersaturated so a precipitate will form	MileDown::General_Chemistry::Solutions::Solubility     If Qsp is greater than Ksp then the solution is supersaturated so a precipitate will form                 YouTube Link
MileDown::General_Chemistry::Solutions::Solubility The common ion effect causes solubility to [increase or decrease] when adding like ions	MileDown::General_Chemistry::Solutions::Solubility     The common ion effect causes solubility to decrease when adding like ions                Khan Academy Link
MileDown::General_Chemistry::Solutions  A/an [...] is a compound with a central cation bonded to the same ligand in multiple places	MileDown::General_Chemistry::Solutions      A/an chelate is a compound with a central cation bonded to the same ligand in multiple places
MileDown::General_Chemistry::Solutions  [...] are physical properties of solutions that depend on the concentration of dissolved particles but not on their chemical identity	MileDown::General_Chemistry::Solutions      Colligative properties are physical properties of solutions that depend on the concentration of dissolved particles but not on their chemical identity               YouTube Link
MileDown::General_Chemistry::Solutions Raoult's law states that the vapor pressure of a solution is equal to [...]	MileDown::General_Chemistry::Solutions     Raoult's law states that the vapor pressure of a solution is equal to the sum of the vapor pressures of each volatile component multiplied by the mole fraction of that component in the solution             Raoult's law can be used to calculate the molecular mass of an unknown solute       YouTube Link
MileDown::General_Chemistry::Solutions The presence of nonvolatile solute particles in a liquid solvent results in a/an [increase or reduction] of the vapor pressure above a liquid	MileDown::General_Chemistry::Solutions     The presence of nonvolatile solute particles in a liquid solvent results in a/an reduction of the vapor pressure above a liquid               YouTube Link
MileDown::General_Chemistry::Solutions  [...] is the number of individual particles in solution	MileDown::General_Chemistry::Solutions      Osmolarity is the number of individual particles in solution               Khan Academy Link
MileDown::General_Chemistry::Acids_and_Bases::Buffers_and_Titrations  Strong acids and bases have [strong or weak] conjugates	MileDown::General_Chemistry::Acids_and_Bases::Buffers_and_Titrations      Strong acids and bases have weak conjugates               Khan Academy Link
MileDown::General_Chemistry::Acids_and_Bases::Buffers_and_Titrations Weak acids and bases have [strong or weak] conjugates	MileDown::General_Chemistry::Acids_and_Bases::Buffers_and_Titrations     Weak acids and bases have weak conjugates                Khan Academy Link
MileDown::General_Chemistry::Acids_and_Bases::Buffers_and_Titrations A neutralization reaction is when an acid and a base react to form [...] and [...]	MileDown::General_Chemistry::Acids_and_Bases::Buffers_and_Titrations     A neutralization reaction is when an acid and a base react to form water and a salt             H+ ions and OH- ions combine to generate water       Khan Academy Link
MileDown::General_Chemistry::Acids_and_Bases::Buffers_and_Titrations An acidic buffer is a mixture of a [...] and [...]	MileDown::General_Chemistry::Acids_and_Bases::Buffers_and_Titrations     An acidic buffer is a mixture of a weak acid and its conjugate salt               Khan Academy Link
MileDown::General_Chemistry::Acids_and_Bases::Buffers_and_Titrations A basic buffer is a mixture of a [...] and [...]	MileDown::General_Chemistry::Acids_and_Bases::Buffers_and_Titrations     A basic buffer is a mixture of a weak base and its conjugate salt                Khan Academy Link
MileDown::General_Chemistry::Acids_and_Bases::Buffers_and_Titrations Buffering capacity is a measure of the ability of a buffer to [...]	MileDown::General_Chemistry::Acids_and_Bases::Buffers_and_Titrations     Buffering capacity is a measure of the ability of a buffer to resist changes in pH               Khan Academy Link
MileDown::General_Chemistry::Acids_and_Bases::Buffers_and_Titrations MileDown::General_Chemistry::Acids_and_Bases::pH_and_pKa  When [A-] = [HA] at the half-equivalence point, log(1) = [...], so pH = [...]	MileDown::General_Chemistry::Acids_and_Bases::Buffers_and_Titrations MileDown::General_Chemistry::Acids_and_Bases::pH_and_pKa      When [A-] = [HA] at the half-equivalence point, log(1) = 0, so pH = pKa                  Khan Academy Link
MileDown::General_Chemistry::Acids_and_Bases::Buffers_and_Titrations The [...], also known as the [...], is the point of the buffering region, in which half the titrant has been protonated or deprotonated	MileDown::General_Chemistry::Acids_and_Bases::Buffers_and_Titrations     The half-equivalence point, also known as the midpoint, is the point of the buffering region, in which half the titrant has been protonated or deprotonated               Khan Academy Link
MileDown::General_Chemistry::Acids_and_Bases::Buffers_and_Titrations  The [...] is the point at which equivalent amounts of acid and base have reacted	MileDown::General_Chemistry::Acids_and_Bases::Buffers_and_Titrations      The equivalence point is the point at which equivalent amounts of acid and base have reacted               Khan Academy Link
MileDown::General_Chemistry::Acids_and_Bases::Buffers_and_Titrations    In a titration, the [...] (the known solution) is added from a burette to a certain quantity of the [...] (the unknown solution) until the reaction is complete	MileDown::General_Chemistry::Acids_and_Bases::Buffers_and_Titrations        In a titration, the titrant (the known solution) is added from a burette to a certain quantity of the analyte (the unknown solution) until the reaction is complete                Khan Academy Link
MileDown::General_Chemistry::Acids_and_Bases::Buffers_and_Titrations    The graph above shows the titration curve of a [...] with a [...]	MileDown::General_Chemistry::Acids_and_Bases::Buffers_and_Titrations        The graph above shows the titration curve of a strong acid with a strong base                Khan Academy Link
MileDown::General_Chemistry::Acids_and_Bases::Buffers_and_Titrations    The graph above shows the titration curve of a [...] with a [...]	MileDown::General_Chemistry::Acids_and_Bases::Buffers_and_Titrations        The graph above shows the titration curve of a strong acid with a weak base                Khan Academy Link
MileDown::General_Chemistry::Acids_and_Bases::Buffers_and_Titrations    The graph above shows the titration curve of a [...] with a [...]	MileDown::General_Chemistry::Acids_and_Bases::Buffers_and_Titrations        The graph above shows the titration curve of a weak acid with a strong base                Khan Academy Link
MileDown::General_Chemistry::Acids_and_Bases::Buffers_and_Titrations    The graph above shows the titration curve of a [...] with a [...]	MileDown::General_Chemistry::Acids_and_Bases::Buffers_and_Titrations        The graph above shows the titration curve of a weak acid with a weak base                Khan Academy Link
MileDown::General_Chemistry::Acids_and_Bases::Buffers_and_Titrations  [...] are weak acids or bases that display different colors in the protonated and deprotonated forms	MileDown::General_Chemistry::Acids_and_Bases::Buffers_and_Titrations      Indicators are weak acids or bases that display different colors in the protonated and deprotonated forms                Khan Academy Link
MileDown::General_Chemistry::Acids_and_Bases  An Arrhenius acid is a substance that [...]	MileDown::General_Chemistry::Acids_and_Bases      An Arrhenius acid is a substance that produces H+              An Arrhenius acid and Brønsted acid both donate H+     YouTube Link
MileDown::General_Chemistry::Acids_and_Bases An Arrhenius base is a substance that [...]	MileDown::General_Chemistry::Acids_and_Bases     An Arrhenius base is a substance that produces OH-                YouTube Link
MileDown::General_Chemistry::Acids_and_Bases  A Brønsted-Lowry acid is a substance that [...]	MileDown::General_Chemistry::Acids_and_Bases      A Brønsted-Lowry acid is a substance that donates H+             An Arrhenius acid and Brønsted acid both donate H+      YouTube Link
MileDown::General_Chemistry::Acids_and_Bases A Brønsted-Lowry base is a substance that [...]	MileDown::General_Chemistry::Acids_and_Bases     A Brønsted-Lowry base is a substance that accepts H+                YouTube Link
MileDown::General_Chemistry::Acids_and_Bases A Lewis acid is a substance that [...]	MileDown::General_Chemistry::Acids_and_Bases     A Lewis acid is a substance that accepts a pair of electrons               YouTube Link
MileDown::General_Chemistry::Acids_and_Bases A Lewis base is a substance that [...]	MileDown::General_Chemistry::Acids_and_Bases     A Lewis base is a substance that donates a pair of electrons                YouTube Link
MileDown::General_Chemistry::Acids_and_Bases  A/an [... species] is a species that can behave as an acid or a base	MileDown::General_Chemistry::Acids_and_Bases      A/an amphoteric species is a species that can behave as an acid or a base               YouTube Link
MileDown::General_Chemistry::Acids_and_Bases [...] are specific acids that are capable of losing more than a single proton per molecule	MileDown::General_Chemistry::Acids_and_Bases     Polyprotic acids are specific acids that are capable of losing more than a single proton per molecule                YouTube Link
MileDown::General_Chemistry::Acids_and_Bases MileDown::General_Chemistry::Equilibrium The equilibrium constant for the autoionization of water, Kw, is [...] at 25º C	MileDown::General_Chemistry::Acids_and_Bases MileDown::General_Chemistry::Equilibrium     The equilibrium constant for the autoionization of water, Kw, is 10-14 at 25º C              Kw = Ka + Kb     Khan Academy Link
MileDown::General_Chemistry::Acids_and_Bases::pH_and_pKa pH + pOH = [...]	MileDown::General_Chemistry::Acids_and_Bases::pH_and_pKa     pH + pOH = 14               Khan Academy Link
MileDown::General_Chemistry::Acids_and_Bases::pH_and_pKa [H+] = [...]	MileDown::General_Chemistry::Acids_and_Bases::pH_and_pKa     [H+] = 10-pH               Khan Academy Link
MileDown::General_Chemistry::Acids_and_Bases::pH_and_pKa [OH-] = [...]	MileDown::General_Chemistry::Acids_and_Bases::pH_and_pKa     [OH-] = 10-pOH                Khan Academy Link
MileDown::General_Chemistry::Acids_and_Bases  Strong acids and bases dissociate [partially or completely]	MileDown::General_Chemistry::Acids_and_Bases      Strong acids and bases dissociate completely                Khan Academy Link
MileDown::General_Chemistry::Acids_and_Bases  Weak acids and bases do not completely [...]	MileDown::General_Chemistry::Acids_and_Bases      Weak acids and bases do not completely dissociate               Khan Academy Link
MileDown::General_Chemistry::Acids_and_Bases MileDown::General_Chemistry::Equilibrium [...] is the equilibrium constant corresponding to the dissociation of an acid, HA, into a proton and its conjugate base	MileDown::General_Chemistry::Acids_and_Bases MileDown::General_Chemistry::Equilibrium     Ka is the equilibrium constant corresponding to the dissociation of an acid, HA, into a proton and its conjugate base                 Khan Academy Link
MileDown::General_Chemistry::Acids_and_Bases MileDown::General_Chemistry::Equilibrium [...] is the equilibrium constant corresponding to the dissociation of a base, BOH, into a hydroxide ion and its conjugate acid	MileDown::General_Chemistry::Acids_and_Bases MileDown::General_Chemistry::Equilibrium     Kb is the equilibrium constant corresponding to the dissociation of a base, BOH, into a hydroxide ion and its conjugate acid                Khan Academy Link
MileDown::General_Chemistry::Acids_and_Bases::pH_and_pKa pKa = [...]	MileDown::General_Chemistry::Acids_and_Bases::pH_and_pKa     pKa = -log(Ka)               Khan Academy Link
MileDown::General_Chemistry::Acids_and_Bases::pH_and_pKa pKb = [...]	MileDown::General_Chemistry::Acids_and_Bases::pH_and_pKa     pKb = -log(Kb)                 Khan Academy Link
"MileDown::General_Chemistry::Acids_and_Bases::pH_and_pKa pKa + pKb = [...] = [#]"	MileDown::General_Chemistry::Acids_and_Bases::pH_and_pKa     pKa + pKb = pKw = 14               Khan Academy Link
MileDown::General_Chemistry::Acids_and_Bases::Buffers_and_Titrations When choosing a titration indicator, you want to select an indicator that changes color in a range close to your [point on titration curve]	MileDown::General_Chemistry::Acids_and_Bases::Buffers_and_Titrations     When choosing a titration indicator, you want to select an indicator that changes color in a range close to your equivalence point                Khan Academy Link
MileDown::General_Chemistry::Acids_and_Bases::Buffers_and_Titrations In an acid:   [red or blue] litmus paper has no change of color   [red or blue] litmus paper changes its color to [red or blue]	MileDown::General_Chemistry::Acids_and_Bases::Buffers_and_Titrations     In an acid:   red litmus paper has no change of color   blue litmus paper changes its color to red               YouTube Link
MileDown::General_Chemistry::Acids_and_Bases::Buffers_and_Titrations In an base:   [red or blue] litmus paper has no change of color   [red or blue] litmus paper changes its color to [red or blue]	MileDown::General_Chemistry::Acids_and_Bases::Buffers_and_Titrations     In an base:   blue litmus paper has no change of color   red litmus paper changes its color to blue               YouTube Link
MileDown::General_Chemistry::Acids_and_Bases::Buffers_and_Titrations In a/an [...] solution, both red and blue litmus paper have no change in color	MileDown::General_Chemistry::Acids_and_Bases::Buffers_and_Titrations     In a/an neutral solution, both red and blue litmus paper have no change in color               YouTube Link
MileDown::General_Chemistry::Acids_and_Bases::Buffers_and_Titrations Universal litmus paper turns [colors] in acids, [color] in neutral solutions and [colors] in alkalis	MileDown::General_Chemistry::Acids_and_Bases::Buffers_and_Titrations     Universal litmus paper turns red, orange or yellow in acids, green in neutral solutions and blue or purple in alkalis               YouTube Link
MileDown::General_Chemistry::Acids_and_Bases::Buffers_and_Titrations  Phenolphthalein is colorless up to a pH of [...] and becomes purple	MileDown::General_Chemistry::Acids_and_Bases::Buffers_and_Titrations      Phenolphthalein is colorless up to a pH of 8.2 and becomes purple               YouTube Link
MileDown::General_Chemistry::Acids_and_Bases::Buffers_and_Titrations  Methyl orange is red at a pH less than [...] and is yellow at a pH greater than [...]	MileDown::General_Chemistry::Acids_and_Bases::Buffers_and_Titrations      Methyl orange is red at a pH less than 3.1 and is yellow at a pH greater than 4.4               YouTube Link
MileDown::General_Chemistry::Acids_and_Bases::Buffers_and_Titrations  Bromophenol blue is yellow up to a pH of [...] and is blue at any pH greater than [...]	MileDown::General_Chemistry::Acids_and_Bases::Buffers_and_Titrations      Bromophenol blue is yellow up to a pH of 6 and is blue at any pH greater than 8               YouTube Link
MileDown::General_Chemistry::Acids_and_Bases::Buffers_and_Titrations  The endpoint of a titration is when [...]	MileDown::General_Chemistry::Acids_and_Bases::Buffers_and_Titrations      The endpoint of a titration is when the indicator reaches full color               Khan Academy Link
MileDown::General_Chemistry::Acids_and_Bases::Buffers_and_Titrations Titrations of a/an [...] show multiple buffering regions and equivalence points	MileDown::General_Chemistry::Acids_and_Bases::Buffers_and_Titrations     Titrations of a/an polyvalent acid or base show multiple buffering regions and equivalence points               YouTube Link
MileDown::General_Chemistry::Acids_and_Bases::Buffers_and_Titrations MileDown::General_Chemistry::Acids_and_Bases::pH_and_pKa At the half-equivalence point (midpoint) of a titration, pH = [...]	MileDown::General_Chemistry::Acids_and_Bases::Buffers_and_Titrations MileDown::General_Chemistry::Acids_and_Bases::pH_and_pKa     At the half-equivalence point (midpoint) of a titration, pH = pKa                 Khan Academy Link
"MileDown::General_Chemistry::REDOX  Any free element or diatomic species has an oxidation number of [#]"	MileDown::General_Chemistry::REDOX      Any free element or diatomic species has an oxidation number of 0               YouTube Link
MileDown::General_Chemistry::REDOX  A monatomic ion has an oxidation charge that equals [...]	MileDown::General_Chemistry::REDOX      A monatomic ion has an oxidation charge that equals the charge of the ion               YouTube Link
"MileDown::General_Chemistry::REDOX  When in a compound, metals have the following oxidation states:   Group 1A metals = [#]   Group 2A metals = [#]"	MileDown::General_Chemistry::REDOX      When in a compound, metals have the following oxidation states:   Group 1A metals = +1   Group 2A metals = +2               YouTube Link
"MileDown::General_Chemistry::REDOX  When in a compound, group 7A metals have an oxidation state of [#] unless combined with an element of greater electronegativity"	MileDown::General_Chemistry::REDOX      When in a compound, group 7A metals have an oxidation state of -1 unless combined with an element of greater electronegativity               YouTube Link
"MileDown::General_Chemistry::REDOX The oxidation state of hydrogen in a compound is [#], except for metal hydrides, such as NaH, LiH, etc., in which the oxidation state for H is [...]"	MileDown::General_Chemistry::REDOX     The oxidation state of hydrogen in a compound is +1, except for metal hydrides, such as NaH, LiH, etc., in which the oxidation state for H is -1                YouTube Link
"MileDown::General_Chemistry::REDOX The oxidation state of oxygen in a compound is [#], except for peroxides like H2O2, and Na2O2, in which the oxidation state for O is [#]"	MileDown::General_Chemistry::REDOX     The oxidation state of oxygen in a compound is -2, except for peroxides like H2O2, and Na2O2, in which the oxidation state for O is -1                YouTube Link
"MileDown::General_Chemistry::REDOX The sum of the oxidation numbers in a neutral compound is [#]"	MileDown::General_Chemistry::REDOX     The sum of the oxidation numbers in a neutral compound is zero                YouTube Link
MileDown::General_Chemistry::REDOX The sum of the oxidation numbers in a polyatomic ion is equal to [...]	MileDown::General_Chemistry::REDOX     The sum of the oxidation numbers in a polyatomic ion is equal to the charge of the ion                YouTube Link
MileDown::General_Chemistry::REDOX  The [... equation] shows all of the ions present in a reaction including spectator ions	MileDown::General_Chemistry::REDOX      The complete ionic equation shows all of the ions present in a reaction including spectator ions               Khan Academy Link
MileDown::General_Chemistry::REDOX The [... equation] is a chemical equation for a reaction which lists only those species participating in the reaction	MileDown::General_Chemistry::REDOX     The net ionic equation is a chemical equation for a reaction which lists only those species participating in the reaction             Does not include spectator ions      Khan Academy Link
MileDown::General_Chemistry::REDOX [...], also known as [...], is a REDOX reaction where a molecule is transformed into two or more dissimilar products	MileDown::General_Chemistry::REDOX     Disproportionation, also known as dismutation, is a REDOX reaction where a molecule is transformed into two or more dissimilar products                Khan Academy Link
MileDown::General_Chemistry::REDOX  A/an [... titration] is similar in methodology to acid-base titrations, however, these titrations follow transfer of charge	MileDown::General_Chemistry::REDOX      A/an REDOX titration is similar in methodology to acid-base titrations, however, these titrations follow transfer of charge               Khan Academy Link
MileDown::General_Chemistry::REDOX     Balance the above REDOX reaction in an acidic solution:   [...]	MileDown::General_Chemistry::REDOX         Balance the above REDOX reaction in an acidic solution:                Khan Academy Link
MileDown::General_Chemistry::REDOX     Balance the above REDOX reaction in a basic solution:   [...]	MileDown::General_Chemistry::REDOX         Balance the above REDOX reaction in a basic solution:                Khan Academy Link
MileDown::General_Chemistry::Electrochemistry In an electrochemical cell, an anode attracts [anions or cations] and is always the site of [oxidation or reduction]	MileDown::General_Chemistry::Electrochemistry     In an electrochemical cell, an anode attracts anions and is always the site of oxidation               YouTube Link
MileDown::General_Chemistry::Electrochemistry In an electrochemical cell, a cathode attracts [anions or cations] and is always the site of [oxidation or reduction]	MileDown::General_Chemistry::Electrochemistry     In an electrochemical cell, a cathode attracts cations and is always the site of reduction                   YouTube Link
MileDown::General_Chemistry::Electrochemistry In an electrochemical cell, electrons flow from the [anode or cathode] to the [anode or cathode]	MileDown::General_Chemistry::Electrochemistry     In an electrochemical cell, electrons flow from the anode to the cathode                  YouTube Link
MileDown::General_Chemistry::Electrochemistry In an electrochemical cell, current flows from the [anode or cathode] to the [anode or cathode]	MileDown::General_Chemistry::Electrochemistry     In an electrochemical cell, current flows from the cathode to the anode                    YouTube Link
MileDown::General_Chemistry::Electrochemistry  Galvanic cells are also known as [...]	MileDown::General_Chemistry::Electrochemistry      Galvanic cells are also known as voltaic cells                YouTube Link
MileDown::General_Chemistry::Electrochemistry Galvanic cells house [spontaneous or non-spontaneous] reactions	MileDown::General_Chemistry::Electrochemistry     Galvanic cells house spontaneous reactions                YouTube Link
MileDown::General_Chemistry::Electrochemistry Electrolytic cells house [spontaneous or non-spontaneous] reactions	MileDown::General_Chemistry::Electrochemistry     Electrolytic cells house non-spontaneous reactions                 YouTube Link
MileDown::General_Chemistry::Electrochemistry A/an [...] is an electrolytic cell that is comprised of two half-cells with the same electrodes, but differing in concentrations	MileDown::General_Chemistry::Electrochemistry     A/an concentration cell is an electrolytic cell that is comprised of two half-cells with the same electrodes, but differing in concentrations                YouTube Link
MileDown::General_Chemistry::Electrochemistry  [...] is a measure of the tendency of a chemical species gain electrons and be reduced	MileDown::General_Chemistry::Electrochemistry      Reduction potential is a measure of the tendency of a chemical species gain electrons and be reduced             A more positive Ered indicates a greater tendency to be reduced     Khan Academy Link
MileDown::General_Chemistry::Electrochemistry The [...] is the tendency for a chemical species to be reduced, and is measured in volts at standard conditions	MileDown::General_Chemistry::Electrochemistry     The standard reduction potential is the tendency for a chemical species to be reduced, and is measured in volts at standard conditions                    Khan Academy Link
MileDown::General_Chemistry::Electrochemistry The [...] is the maximum potential difference between two electrodes of a galvanic or voltaic cell	MileDown::General_Chemistry::Electrochemistry     The electromotive force (EMF) is the maximum potential difference between two electrodes of a galvanic or voltaic cell              Also known as the cell potential      YouTube Link
MileDown::General_Chemistry::Electrochemistry    Complete the above table with the signs (+, -, or 0) for each type of electrochemical cell    [...]	MileDown::General_Chemistry::Electrochemistry        Complete the above table with the signs (+, -, or 0) for each type of electrochemical cell                YouTube Link
MileDown::All_MCAT_Equations MileDown::All_MCAT_Equations::Gen_Chem MileDown::General_Chemistry::Electrochemistry MileDown::General_Chemistry::Equations    Give the equation for the cell potential (electromotive force) of an electrochemical cell:    [...]	MileDown::All_MCAT_Equations MileDown::All_MCAT_Equations::Gen_Chem MileDown::General_Chemistry::Electrochemistry MileDown::General_Chemistry::Equations        Give the equation for the cell potential (electromotive force) of an electrochemical cell:                   YouTube Link
MileDown::General_Chemistry::Electrochemistry     Give the equation for the change in Gibbs free energy during a REDOX reaction as a function of standard cell potential:   [...]	MileDown::General_Chemistry::Electrochemistry         Give the equation for the change in Gibbs free energy during a REDOX reaction as a function of standard cell potential:                n = number of moles of electrons transferred F = Faraday's constant = 96485 \(\frac{C}{mol}\) Eºcell = standard cell potential     Khan Academy Link
